mare,stime,follicles,sin1,cos1,time
6,.9545455,22,-.28173229,.95949304,25
6,1,10,-2.4492937e-16,1,26
6,1.045455,11,.28173518,.95949221,27
6,1.090909,11,.54064035,.84125382,28
6,1.136364,12,.75575101,.65485907,29
7,-.15000001,18,-.809017,.58778524,1
7,-.1,13,-.58778524,.809017,2
7,-.050000001,14,-.309017,.95105654,3
7,0,12,0,1,4
7,.050000001,11,.309017,.95105654,5
7,.1,8,.58778524,.809017,6
7,.15000001,5,.809017,.58778524,7
7,.2,8,.95105654,.30901697,8
7,.25,10,1,6.1232343e-17,9
7,.30000001,11,.95105648,-.30901706,10
7,.34999999,10,.809017,-.58778524,11
7,.40000001,12,.58778524,-.809017,12
7,.44999999,10,.30901706,-.95105648,13
7,.5,9,1.2246469e-16,-1,14
7,.55000001,12,-.30901706,-.95105648,15
7,.60000002,14,-.58778536,-.80901688,16
7,.64999998,16,-.80901688,-.58778536,17
7,.69999999,13,-.95105648,-.30901706,18
7,.75,11,-1,-1.8369701e-16,19
7,.80000001,13,-.95105648,.30901706,20
7,.85000002,13,-.80901688,.58778536,21
7,.89999998,11,-.58778536,.80901688,22
7,.94999999,11,-.30901706,.95105648,23
7,1,8,-2.4492937e-16,1,24
7,1.05,14,.3090167,.9510566,25
7,1.1,4,.58778536,.80901688,26
7,1.15,7,.80901688,.58778536,27
8,-.125,13,-.70710677,.70710677,1
8,-.083333328,9,-.49999997,.86602545,2
8,-.041666672,15,-.25881907,.96592581,3
8,0,15,0,1,4
8,.041666672,12,.25881907,.96592581,5
8,.083333328,8,.49999997,.86602545,6
8,.125,10,.70710677,.70710677,7
8,.1666667,6,.86602551,.49999982,8
8,.2083333,9,.96592575,.25881925,9
8,.25,8,1,6.1232343e-17,10
8,.29166669,10,.96592581,-.25881916,11
8,.33333331,6,.86602545,-.49999988,12
8,.375,8,.70710677,-.70710677,13
8,.41666669,13,.49999988,-.86602545,14
8,.45833331,12,.25881916,-.96592581,15
8,.5,12,1.2246469e-16,-1,16
8,.54166669,15,-.25881916,-.96592581,17
8,.58333331,21,-.49999988,-.86602545,18
8,.625,25,-.70710677,-.70710677,19
8,.66666669,21,-.86602545,-.49999988,20
8,.70833331,21,-.96592581,-.25881916,21
8,.75,24,-1,-1.8369701e-16,22
8,.79166669,20,-.96592581,.25881916,23
8,.83333331,20,-.86602545,.49999988,24
8,.875,18,-.70710677,.70710677,25
8,.91666669,20,-.49999988,.86602545,26
8,.95833331,20,-.25881916,.96592581,27
8,1,19,-2.4492937e-16,1,28
8,1.041667,12,.25882098,.96592534,29
8,1.083333,7,.49999827,.8660264,30
8,1.125,8,.70710677,.70710677,31
9,-.1666667,10,-.86602551,.49999982,1
9,-.1111111,14,-.64278752,.7660445,2
9,-.05555556,12,-.34202015,.93969262,3
9,0,10,0,1,4
9,.05555556,7,.34202015,.93969262,5
9,.1111111,12,.64278752,.7660445,6
9,.1666667,10,.86602551,.49999982,7
9,.22222219,8,.98480773,.17364836,8
9,.27777779,10,.98480773,-.17364825,9
9,.33333331,15,.86602545,-.49999988,10
9,.3888889,15,.64278758,-.7660445,11
9,.44444439,12,.34202048,-.9396925,12
9,.5,19,1.2246469e-16,-1,13
9,.55555558,15,-.3420203,-.93969256,14
9,.6111111,16,-.64278758,-.7660445,15
9,.66666669,15,-.86602545,-.49999988,16
9,.72222221,17,-.98480773,-.17364825,17
9,.77777779,14,-.98480773,.17364825,18
9,.83333331,16,-.86602545,.49999988,19
9,.8888889,15,-.64278758,.7660445,20
9,.94444442,11,-.3420203,.93969256,21
9,1,10,-2.4492937e-16,1,22
9,1.0555561,7,.3420231,.93969154,23
9,1.111111,4,.64278728,.76604474,24
9,1.166667,8,.8660264,.49999827,25
10,-.1363636,11,-.7557494,.65486091,1
10,-.090909101,16,-.54064089,.84125352,2
10,-.045454551,15,-.28173259,.95949298,3
10,0,12,0,1,4
10,.045454551,11,.28173259,.95949298,5
10,.090909101,6,.54064089,.84125352,6
10,.1363636,11,.7557494,.65486091,7
10,.1818182,12,.90963203,.4154149,8
10,.2272727,11,.98982143,.14231499,9
10,.27272731,16,.98982143,-.14231507,10
10,.31818181,15,.90963203,-.41541499,11
10,.3636364,11,.7557494,-.65486091,12
10,.40909091,7,.54064083,-.84125352,13
10,.4545455,14,.28173229,-.95949304,14
10,.5,20,1.2246469e-16,-1,15
10,.5454545,22,-.28173229,-.95949304,16
10,.59090912,23,-.54064101,-.8412534,17
10,.63636363,21,-.75574952,-.65486079,18
10,.68181819,21,-.90963203,-.41541499,19
10,.72727269,23,-.98982143,-.14231507,20
10,.77272731,22,-.98982143,.14231507,21
10,.81818181,22,-.90963203,.41541499,22
10,.86363637,17,-.75574952,.65486079,23
10,.90909088,17,-.54064101,.8412534,24
10,.9545455,17,-.28173229,.95949304,25
10,1,17,-2.4492937e-16,1,26
10,1.045455,14,.28173518,.95949221,27
10,1.090909,12,.54064035,.84125382,28
10,1.136364,11,.75575101,.65485907,29
11,-.15000001,9,-.809017,.58778524,1
11,-.1,8,-.58778524,.809017,2
11,-.050000001,8,-.309017,.95105654,3
11,0,8,0,1,4
11,.050000001,8,.309017,.95105654,5
11,.1,6,.58778524,.809017,6
11,.15000001,7,.809017,.58778524,7
11,.2,8,.95105654,.30901697,8
11,.25,10,1,6.1232343e-17,9
11,.30000001,10,.95105648,-.30901706,10
11,.34999999,14,.809017,-.58778524,11
11,.40000001,13,.58778524,-.809017,12
11,.44999999,8,.30901706,-.95105648,13
11,.5,8,1.2246469e-16,-1,14
11,.55000001,8,-.30901706,-.95105648,15
11,.60000002,9,-.58778536,-.80901688,16
11,.64999998,16,-.80901688,-.58778536,17
11,.69999999,12,-.95105648,-.30901706,18
11,.75,10,-1,-1.8369701e-16,19
11,.80000001,12,-.95105648,.30901706,20
11,.85000002,12,-.80901688,.58778536,21
11,.89999998,9,-.58778536,.80901688,22
11,.94999999,6,-.30901706,.95105648,23
11,1,9,-2.4492937e-16,1,24
11,1.05,7,.3090167,.9510566,25
11,1.1,5,.58778536,.80901688,26
11,1.15,5,.80901688,.58778536,27
