idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
24,41,1,1,0,14.0,1,0,1,0,11.0,1.0,0.0,11.095006,24.0,16.467947,3.4166667
25,42,1,1,0,14.0,1,0,1,1,11.0,1.0,0.0,9.581316,40.0,17.75,5.4166665
36,37,1,0,1,12.0,0,0,1,0,8.0,4.0,,4.1806021,40.0,15.935898,0.91666669
39,44,1,0,0,16.0,1,0,1,0,11.0,1.0,0.0,9.790657,40.0,8.8397436,7.9166665
44,41,1,1,0,18.0,1,0,1,0,12.0,1.0,1.0,28.456659,35.0,16.205128,3.5
45,35,1,1,0,12.0,0,0,1,0,5.0,3.0,1.0,10.185181,38.0,17.25,17.25
46,44,1,1,0,18.0,1,0,1,0,11.0,3.0,0.0,3.0515289,25.0,5.5448718,2.9166667
47,35,1,0,0,12.0,0,0,1,0,5.0,5.0,0.0,3.5265677,40.0,8.7371788,0.75
48,35,1,0,0,15.0,0,0,1,1,7.0,3.0,,5.8528428,40.0,5.5576925,0.33333334
50,36,1,0,0,16.0,1,0,1,1,11.0,1.0,,35.731617,45.0,9.4230766,6.4166665
51,38,1,1,0,12.0,0,0,1,0,11.0,1.0,0.0,4.4283414,18.0,10.269231,3.25
54,40,1,0,1,12.0,0,0,1,1,11.0,8.0,0.0,5.0322061,55.0,10.397436,0.75
57,42,1,1,0,12.0,0,0,1,1,6.0,3.0,0.0,5.7809958,40.0,12.846154,7.25
62,38,1,1,0,10.0,0,0,0,0,6.0,3.0,0.0,5.1127205,40.0,7.3653846,5.9166665
63,44,1,0,0,15.0,1,0,1,1,11.0,1.0,1.0,25.160601,18.0,10.384615,2.0833333
64,38,1,1,0,12.0,0,0,1,0,11.0,8.0,1.0,4.4041848,30.0,7.3846149,3.3333333
66,39,1,1,0,13.0,0,0,1,1,6.0,4.0,0.0,4.7101436,9.0,11.480769,9.75
67,40,1,1,0,15.0,0,0,0,0,11.0,1.0,0.0,8.0515299,24.0,11.038462,3.1666667
70,36,1,1,0,13.0,0,0,0,0,5.0,3.0,0.0,16.739124,38.0,16.083334,16.083334
71,34,1,1,0,12.0,0,0,0,0,4.0,3.0,0.0,5.7246356,38.0,10.5,2.5
72,36,1,1,0,12.0,0,0,1,0,11.0,3.0,1.0,7.4581928,40.0,9.4423075,1.0833334
73,36,1,0,1,14.0,0,0,0,0,4.0,3.0,,6.793478,40.0,14.442307,0.5
75,39,2,0,0,11.0,0,0,0,0,4.0,6.0,1.0,12.500001,40.0,14.499999,9.333333
78,40,1,1,0,12.0,0,0,1,1,7.0,3.0,0.0,17.697258,35.0,16.326923,9.083333
80,45,1,1,0,14.0,0,0,1,0,11.0,3.0,0.0,12.077295,8.0,5.7179489,0.0
85,38,1,0,0,11.0,0,0,1,1,4.0,3.0,,9.406354,40.0,6.1923075,1.5
86,44,1,0,1,17.0,1,0,1,0,10.0,8.0,1.0,13.172291,44.0,16.26923,1.25
103,36,1,1,0,18.0,1,0,1,1,11.0,13.0,1.0,11.062799,35.0,9.833333,0.0
104,41,1,1,0,17.0,1,0,1,0,11.0,13.0,0.0,3.7439594,18.0,8.9487181,2.75
105,41,1,1,0,16.0,1,0,1,0,6.0,3.0,0.0,4.0257649,8.0,8.7884617,5.5833335
106,38,2,0,0,12.0,0,1,1,1,12.0,3.0,0.0,10.837358,40.0,17.416666,17.416666
107,43,2,0,0,8.0,0,0,1,1,4.0,6.0,1.0,4.3478241,40.0,7.5448713,1.0833334
110,45,1,1,0,12.0,0,0,1,0,11.0,3.0,1.0,4.7101436,20.0,6.6602564,2.5833333
121,39,2,1,0,12.0,0,0,1,1,5.0,3.0,1.0,9.726243,38.0,20.698719,20.666666
123,41,3,0,0,6.0,0,0,1,1,8.0,6.0,1.0,2.8985493,37.0,7.3205128,0.75
126,39,2,0,0,12.0,0,0,1,1,11.0,1.0,0.0,10.064413,40.0,19.75,19.75
128,36,1,1,0,12.0,0,0,1,0,7.0,1.0,0.0,8.5185146,40.0,19.032053,19.0
129,43,1,0,0,12.0,0,0,1,0,11.0,3.0,0.0,8.49436,37.0,14.230769,10.166667
130,43,1,1,0,12.0,0,0,1,0,4.0,3.0,0.0,5.600358,40.0,6.1538463,0.66666669
131,41,1,0,0,12.0,0,0,1,1,11.0,3.0,1.0,4.2270532,38.0,12.26282,0.25
132,36,1,0,0,10.0,0,0,1,1,4.0,6.0,0.0,5.6199675,43.0,10.24359,2.6666667
134,42,1,1,0,12.0,0,0,1,0,12.0,2.0,0.0,4.64573,30.0,6.1282053,1.5
137,36,2,1,0,17.0,1,0,1,0,11.0,13.0,1.0,15.48309,30.0,9.833333,9.833333
139,44,2,0,0,9.0,0,0,1,1,11.0,3.0,1.0,4.8309178,35.0,8.5,8.5
141,43,1,0,0,14.0,0,0,1,0,11.0,3.0,,40.198082,40.0,12.910256,1.1666666
142,43,1,1,0,18.0,1,0,1,0,11.0,1.0,1.0,15.48309,40.0,15.115384,5.75
143,37,1,1,0,15.0,0,0,1,0,11.0,1.0,0.0,10.033444,40.0,7.0769234,0.58333331
144,43,1,1,0,10.0,0,1,1,0,1.0,3.0,0.0,3.6231885,40.0,14.326923,0.33333334
147,40,1,1,0,12.0,0,0,1,0,7.0,4.0,0.0,9.2995138,20.0,7.666667,3.0833333
152,37,1,1,0,18.0,1,0,1,0,11.0,13.0,1.0,10.217388,50.0,13.673077,4.8333335
159,36,1,1,0,11.0,0,0,1,0,7.0,4.0,0.0,10.008045,37.0,17.397436,17.333334
166,38,1,1,0,14.0,0,0,1,0,11.0,13.0,0.0,4.2270532,4.0,10.602565,1.0833334
167,37,1,1,0,13.0,0,1,0,0,3.0,3.0,0.0,4.8309178,25.0,16.980768,7.5
168,41,1,1,0,17.0,1,1,1,0,11.0,13.0,0.0,7.7455678,40.0,11.301282,3.8333333
169,36,1,0,0,16.0,1,0,1,0,11.0,13.0,1.0,9.8470192,37.0,14.833333,14.833333
172,44,1,1,0,15.0,1,0,1,1,11.0,1.0,0.0,10.869566,30.0,17.833334,3.4166667
173,43,2,0,0,12.0,0,0,1,1,9.0,7.0,,3.220612,35.0,11.506411,2.9166667
176,38,2,0,1,12.0,0,0,1,1,12.0,1.0,1.0,8.1642513,40.0,12.846153,3.5
183,43,1,0,0,12.0,0,0,1,0,4.0,2.0,1.0,8.4541073,40.0,17.121796,13.25
184,41,1,1,0,12.0,0,0,1,0,11.0,3.0,0.0,8.2930727,40.0,13.788462,12.083333
188,41,1,1,0,12.0,0,0,1,0,4.0,3.0,1.0,9.6779356,40.0,13.26923,8.416667
195,36,1,1,0,12.0,0,0,1,0,1.0,3.0,0.0,4.5330095,40.0,12.801282,2.1666667
202,36,1,0,0,14.0,0,1,0,0,6.0,8.0,,3.3444817,30.0,11.551282,0.25
203,41,1,1,0,11.0,0,1,1,1,7.0,4.0,0.0,8.4541073,24.0,19.006411,3.1666667
204,38,2,1,0,10.0,0,0,1,1,6.0,2.0,0.0,6.0386477,40.0,5.5961537,4.0
206,37,1,1,0,14.0,0,0,1,1,11.0,1.0,0.0,10.32206,18.0,10.333333,1.3333334
207,38,2,0,1,18.0,1,0,1,1,11.0,1.0,1.0,11.610305,50.0,13.269231,2.0833333
210,37,2,0,0,11.0,0,0,1,0,4.0,6.0,,5.0167227,40.0,15.641026,10.916667
213,43,1,0,0,10.0,0,0,1,1,4.0,6.0,0.0,6.4412241,40.0,16.903847,14.416667
215,36,1,0,1,16.0,1,0,1,0,6.0,3.0,0.0,5.0322061,40.0,15.852564,3.75
218,35,1,1,0,12.0,0,0,0,0,11.0,2.0,0.0,4.8309178,38.0,10.115384,2.0833333
219,35,1,0,1,13.0,0,0,1,1,11.0,8.0,0.0,11.070854,40.0,16.858974,8.916667
221,40,1,1,0,16.0,1,0,1,0,4.0,1.0,0.0,8.3172264,35.0,9.2564106,1.8333334
223,37,1,0,0,16.0,1,0,1,0,10.0,1.0,0.0,13.083735,40.0,15.916667,8.75
224,38,1,1,0,13.0,0,0,1,0,11.0,3.0,1.0,5.6280179,40.0,10.788462,4.6666665
225,35,1,0,0,16.0,1,0,1,0,4.0,2.0,0.0,12.560386,45.0,16.692308,15.75
226,34,1,1,0,16.0,1,1,1,0,12.0,1.0,0.0,6.682766,40.0,7.6923075,6.6666665
227,42,1,0,0,15.0,0,1,1,1,4.0,3.0,0.0,5.6360707,40.0,18.788462,1.3333334
228,42,1,1,0,16.0,1,1,1,0,7.0,3.0,0.0,4.0257649,15.0,4.9807692,0.33333334
231,42,1,1,0,16.0,1,0,1,0,8.0,3.0,0.0,18.067625,30.0,10.589743,9.833333
233,36,1,1,0,16.0,1,0,0,0,11.0,1.0,0.0,5.8051524,40.0,13.923077,13.916667
236,36,1,1,0,18.0,1,0,1,1,11.0,1.0,0.0,24.661829,20.0,9.4807692,3.75
237,36,1,0,1,17.0,1,0,1,1,11.0,3.0,1.0,7.21417,40.0,12.096154,1.75
242,39,1,1,0,12.0,0,0,1,0,11.0,6.0,1.0,4.6940408,24.0,15.301282,8.75
243,35,1,1,0,18.0,1,0,1,0,12.0,2.0,1.0,12.697259,40.0,17.493589,8.583333
244,36,1,0,1,13.0,0,1,0,0,7.0,1.0,0.0,9.5652161,40.0,16.269232,11.25
245,36,1,1,0,15.0,0,0,1,1,11.0,1.0,0.0,6.1916251,40.0,9.8461542,1.0
250,44,1,1,0,18.0,1,1,1,0,11.0,13.0,0.0,7.6811533,50.0,9.0641031,3.9166667
254,39,1,0,0,12.0,0,1,1,0,11.0,1.0,0.0,9.8067579,40.0,16.307692,9.75
255,45,2,1,0,14.0,0,0,1,1,5.0,3.0,0.0,4.0257649,40.0,24.75,24.75
257,38,2,1,0,16.0,1,1,1,1,11.0,1.0,1.0,11.610305,40.0,11.653846,2.75
260,38,1,0,0,12.0,0,0,1,0,11.0,8.0,0.0,6.9645681,40.0,10.871796,2.5
261,41,1,1,0,12.0,0,0,1,0,11.0,3.0,1.0,4.2592573,40.0,5.3653841,2.8333333
262,44,1,0,0,14.0,0,1,1,0,11.0,2.0,,4.5088553,40.0,14.576923,1.25
265,44,1,0,0,14.0,0,1,1,1,11.0,1.0,0.0,9.2270517,40.0,11.019231,0.75
269,40,1,1,0,16.0,1,0,1,0,11.0,13.0,1.0,3.3172295,14.0,7.6538463,1.75
270,38,1,1,0,16.0,1,0,1,1,11.0,8.0,1.0,8.0515299,40.0,16.448717,10.666667
271,36,1,0,1,11.0,0,0,1,1,6.0,3.0,0.0,5.1127205,40.0,11.333333,11.333333
273,42,1,1,0,12.0,0,0,1,0,8.0,8.0,,3.5535119,20.0,9.0192308,0.33333334
275,38,1,1,0,10.0,0,0,1,1,4.0,6.0,,1.0049518,16.0,7.4807692,1.0
276,35,1,1,0,12.0,0,0,1,1,6.0,3.0,0.0,7.3188381,22.0,16.166666,16.166666
279,35,1,1,0,16.0,1,0,1,0,6.0,13.0,,9.8912992,55.0,15.557693,6.25
285,38,1,1,0,13.0,0,0,1,0,6.0,2.0,0.0,5.8856664,50.0,10.102564,2.5833333
287,41,1,1,0,12.0,0,0,1,0,11.0,8.0,1.0,4.8631215,15.0,5.5192308,0.75
289,44,1,1,0,12.0,0,0,0,0,3.0,3.0,,2.801002,46.0,19.134615,0.75
291,42,1,0,0,12.0,0,0,1,1,11.0,8.0,,3.0518394,40.0,7.5961537,4.5833335
294,34,1,1,0,12.0,0,0,1,0,6.0,2.0,0.0,5.6360707,30.0,15.608974,1.75
296,44,1,1,0,12.0,0,0,1,0,11.0,8.0,0.0,8.8083696,32.0,15.230769,11.416667
298,37,1,1,0,16.0,1,1,1,1,7.0,2.0,0.0,23.244761,40.0,12.070512,2.25
299,41,2,0,0,16.0,1,0,1,1,7.0,1.0,0.0,12.222217,38.0,12.153846,6.75
301,38,1,0,1,18.0,1,0,1,0,11.0,2.0,0.0,12.971002,40.0,14.903846,6.5
305,40,1,1,0,16.0,1,0,1,0,11.0,2.0,0.0,15.789039,40.0,15.807693,15.5
306,37,1,1,0,14.0,0,0,1,0,11.0,3.0,0.0,6.9645681,40.0,16.833332,13.416667
307,35,1,0,0,12.0,0,0,1,0,6.0,4.0,,4.3886213,22.0,13.833333,2.3333333
308,37,1,1,0,18.0,1,0,1,0,11.0,1.0,,11.148272,50.0,14.173077,0.75
312,36,1,1,0,15.0,1,0,1,0,11.0,1.0,0.0,9.6618366,16.0,9.6538458,0.66666669
315,38,1,0,0,16.0,1,0,1,0,7.0,4.0,0.0,29.726234,50.0,14.884615,1.5
319,45,1,1,0,12.0,0,0,1,0,11.0,8.0,1.0,4.4927521,18.0,8.3461542,2.6666667
322,41,1,0,0,14.0,0,0,0,0,6.0,6.0,,6.6889634,16.0,12.096154,0.83333331
324,44,1,1,0,12.0,0,0,1,0,6.0,3.0,,5.8528428,25.0,7.3653846,0.91666669
325,34,1,0,1,12.0,0,1,1,0,5.0,8.0,1.0,4.6135263,60.0,16.115385,3.25
327,38,1,0,0,9.0,0,0,1,1,8.0,8.0,0.0,4.0257649,30.0,3.8525643,
329,42,2,0,1,14.0,0,0,1,1,11.0,1.0,1.0,12.181962,40.0,19.076923,2.5
330,43,2,0,0,16.0,1,1,0,0,11.0,3.0,1.0,4.7504005,40.0,16.115385,0.66666669
331,37,2,0,0,15.0,0,0,1,1,4.0,6.0,1.0,8.0515299,40.0,13.397435,12.416667
332,36,2,0,1,9.0,0,0,1,1,4.0,6.0,0.0,7.4476643,40.0,10.903846,4.75
333,35,2,1,0,16.0,1,0,1,1,11.0,1.0,1.0,8.5185146,40.0,13.769231,11.5
338,41,1,1,0,14.0,0,0,0,0,11.0,3.0,0.0,7.2463775,18.0,9.0192308,1.3333334
341,41,2,1,0,14.0,0,0,1,0,6.0,3.0,0.0,11.97262,40.0,17.602562,6.1666665
345,45,1,1,0,12.0,0,0,1,0,11.0,3.0,0.0,8.8083696,32.0,10.198718,5.0833335
347,36,1,1,0,14.0,0,0,1,0,7.0,3.0,0.0,11.070854,40.0,17.096153,17.0
350,39,2,1,0,14.0,0,0,1,0,11.0,1.0,0.0,9.6779356,40.0,16.51923,2.4166667
352,35,1,1,0,13.0,0,0,1,1,7.0,3.0,0.0,3.5426712,20.0,14.365385,14.166667
354,36,1,0,0,12.0,0,0,0,0,6.0,8.0,0.0,4.4202881,35.0,7.1282048,2.5
356,43,1,1,0,16.0,1,0,1,0,8.0,2.0,0.0,7.3188381,40.0,10.403847,9.75
358,45,1,1,0,12.0,0,0,1,0,7.0,2.0,0.0,8.0515299,40.0,24.474358,17.416666
359,44,1,1,0,14.0,0,0,1,0,11.0,1.0,0.0,10.837358,40.0,15.057693,6.0
360,37,1,1,0,12.0,0,0,1,1,4.0,3.0,,38.709259,40.0,15.243589,10.75
363,41,1,0,0,12.0,0,0,1,0,4.0,2.0,0.0,9.8953257,36.0,11.602564,9.25
367,37,1,1,0,13.0,0,0,0,0,11.0,3.0,1.0,10.354262,35.0,8.083333,8.083333
376,41,1,0,0,12.0,0,0,1,0,4.0,3.0,0.0,11.50563,42.0,17.506411,17.5
377,38,1,1,0,16.0,1,1,1,1,7.0,4.0,0.0,23.824474,65.0,13.564102,3.8333333
379,43,1,0,1,13.0,0,0,1,0,6.0,3.0,0.0,7.5523334,40.0,21.737179,20.166666
382,42,1,0,0,12.0,0,0,1,0,12.0,2.0,1.0,7.9629631,35.0,21.326925,1.5833334
384,41,1,1,0,13.0,0,0,1,0,11.0,13.0,0.0,4.8309178,25.0,7.1346159,
389,40,1,1,0,14.0,0,0,1,0,11.0,3.0,0.0,5.4669862,15.0,1.75,0.083333336
392,43,1,1,0,8.0,0,0,1,0,4.0,6.0,1.0,8.0515299,40.0,8.8653851,2.75
395,36,1,0,1,16.0,1,0,0,0,4.0,4.0,0.0,6.5458913,40.0,16.365385,13.75
396,37,1,1,0,14.0,0,0,1,0,11.0,8.0,0.0,3.260869,32.0,13.711538,1.9166666
397,37,1,1,0,13.0,0,0,1,0,4.0,3.0,0.0,4.8309178,20.0,12.942307,0.75
398,35,1,1,0,16.0,1,0,1,0,6.0,2.0,0.0,8.413847,40.0,11.403846,6.4166665
399,37,1,1,0,16.0,1,0,1,0,4.0,2.0,0.0,16.529789,40.0,16.76923,0.0
402,36,1,1,0,12.0,0,0,1,0,4.0,6.0,1.0,6.1755219,40.0,13.589743,9.25
403,40,1,0,1,12.0,0,0,1,0,12.0,3.0,0.0,5.7326884,40.0,10.5,10.5
406,36,1,1,0,12.0,0,0,1,0,4.0,3.0,0.0,6.2801929,40.0,13.198718,0.5
407,37,1,1,0,18.0,1,0,0,0,11.0,1.0,,1.0322473,15.0,9.3076925,4.5833335
409,36,1,1,0,14.0,0,0,1,1,11.0,3.0,,5.9581308,26.0,12.006411,1.6666666
410,43,1,0,0,14.0,0,0,0,0,11.0,1.0,0.0,10.185181,42.0,11.935898,2.5
414,36,1,1,0,16.0,1,0,1,0,7.0,3.0,0.0,5.5152969,39.0,15.108974,5.5
415,35,1,0,1,15.0,0,0,1,0,11.0,1.0,0.0,5.7890487,50.0,9.2692308,3.3333333
417,34,1,1,0,12.0,0,0,1,0,9.0,8.0,0.0,3.3444817,20.0,7.8397436,0.16666667
419,36,1,1,0,12.0,0,0,1,0,4.0,3.0,0.0,6.2801929,40.0,8.5,2.3333333
422,36,1,0,1,11.0,0,0,1,0,9.0,7.0,0.0,1.7230269,35.0,12.589744,7.1666665
423,42,1,0,0,12.0,0,1,0,0,9.0,2.0,0.0,3.4866207,30.0,12.455128,5.1666665
425,34,1,0,0,12.0,0,0,0,0,4.0,6.0,,3.6371226,40.0,8.8076925,1.0
426,40,1,1,0,12.0,0,0,1,0,6.0,8.0,0.0,2.6811595,30.0,1.1282052,0.41666666
429,43,1,1,0,13.0,0,1,1,0,11.0,3.0,0.0,7.7455678,40.0,5.8525639,3.0833333
431,36,1,0,1,16.0,1,0,0,0,12.0,1.0,1.0,11.409016,38.0,15.974359,8.333333
432,37,1,1,0,12.0,0,0,1,0,4.0,6.0,0.0,7.0370355,55.0,9.2179489,6.75
433,43,1,1,0,13.0,0,0,1,0,7.0,4.0,0.0,6.6586123,40.0,13.27564,1.8333334
434,34,1,0,1,12.0,0,0,1,0,9.0,8.0,,3.0518394,30.0,6.9166665,1.1666666
436,37,1,1,0,12.0,0,0,1,0,12.0,3.0,0.0,7.8502412,40.0,18.25,18.25
440,37,1,1,0,11.0,0,0,1,0,7.0,3.0,0.0,8.1481447,38.0,13.288462,2.8333333
441,42,1,1,0,9.0,0,0,1,0,9.0,8.0,0.0,7.2463775,16.0,1.923077,0.083333336
443,37,1,1,0,13.0,0,0,1,0,6.0,4.0,0.0,5.6360707,20.0,10.916667,1.75
447,39,1,1,0,12.0,0,0,1,0,11.0,2.0,0.0,11.046693,37.0,14.185897,4.0
448,38,1,0,0,16.0,1,0,0,0,6.0,2.0,0.0,11.626405,45.0,9.2115383,4.1666665
449,45,1,1,0,14.0,0,0,1,0,11.0,3.0,0.0,8.623189,42.0,8.8076925,6.9166665
450,39,1,1,0,14.0,0,0,0,0,11.0,1.0,0.0,11.25418,20.0,17.673077,10.75
451,40,1,0,0,10.0,0,0,1,0,6.0,8.0,0.0,5.2415447,43.0,5.7756414,5.75
455,39,1,1,0,13.0,0,0,1,1,9.0,8.0,0.0,9.2028933,7.0,10.961538,2.0
456,36,1,1,0,12.0,0,0,1,1,6.0,6.0,,3.7625415,30.0,7.0384617,0.33333334
457,38,1,1,0,14.0,0,0,1,0,7.0,1.0,,35.731617,45.0,9.5576925,2.3333333
459,38,1,0,1,8.0,0,0,1,0,11.0,8.0,,5.8528428,30.0,19.192308,9.666667
460,42,1,1,0,13.0,0,0,0,0,1.0,3.0,,3.0991251,3.0,6.9038463,1.5
467,41,1,0,0,14.0,0,0,0,0,12.0,3.0,1.0,7.2383237,40.0,17.46154,8.333333
469,35,1,0,0,11.0,0,0,0,0,12.0,3.0,0.0,6.7713332,48.0,15.448718,9.916667
474,35,1,1,0,12.0,0,0,1,0,6.0,3.0,0.0,2.8582926,20.0,7.275641,1.5833334
477,42,1,1,0,12.0,0,0,0,0,6.0,3.0,0.0,3.0998378,30.0,10.352564,2.25
478,38,1,1,0,12.0,0,0,1,0,11.0,3.0,0.0,6.5861454,32.0,5.8974361,1.8333334
481,37,1,1,0,12.0,0,0,0,0,11.0,3.0,1.0,8.2930727,38.0,14.5,7.3333335
483,42,1,1,0,12.0,0,0,0,0,6.0,3.0,0.0,5.0322061,40.0,5.7564096,3.0
485,35,1,1,0,17.0,1,1,1,0,11.0,2.0,0.0,3.6231885,40.0,11.788462,0.083333336
486,38,2,0,0,18.0,1,0,1,0,11.0,13.0,,11.073949,40.0,15.692307,6.75
487,36,2,0,0,12.0,0,0,0,0,9.0,8.0,,6.6509566,22.0,12.576923,2.0833333
488,43,1,1,0,16.0,1,1,1,1,6.0,4.0,0.0,12.38325,25.0,8.0128202,1.0
492,39,1,1,0,12.0,0,0,1,0,5.0,4.0,0.0,7.2463775,50.0,14.288462,3.9166667
495,38,1,1,0,16.0,1,0,1,0,11.0,13.0,1.0,8.5990286,45.0,13.666667,13.666667
496,40,1,1,0,12.0,0,0,1,0,11.0,1.0,0.0,12.850242,40.0,18.48077,11.75
499,38,1,0,0,10.0,0,0,1,1,3.0,6.0,,4.105351,40.0,5.2884617,0.33333334
504,43,1,1,0,16.0,1,0,1,0,11.0,13.0,1.0,10.32206,60.0,15.057692,14.416667
505,36,1,1,0,14.0,0,0,0,0,11.0,3.0,1.0,6.0305943,18.0,18.583334,18.583334
507,39,1,1,0,12.0,0,0,0,0,11.0,3.0,,38.709259,40.0,8.4230766,5.8333335
510,35,1,1,0,12.0,0,0,0,0,12.0,3.0,1.0,7.5281787,40.0,9.166667,7.5
516,35,1,1,0,12.0,0,0,1,0,11.0,8.0,1.0,3.5668249,40.0,13.403846,6.9166665
518,43,1,1,0,12.0,0,0,0,0,6.0,2.0,0.0,6.8115935,40.0,16.929487,16.916666
519,36,1,1,0,12.0,0,1,1,1,11.0,3.0,1.0,6.3446035,40.0,12.461538,5.6666665
521,39,1,0,0,7.0,0,0,0,0,4.0,6.0,0.0,5.9017696,40.0,5.9230771,1.0
522,41,1,1,0,14.0,0,0,1,1,11.0,2.0,0.0,5.4508834,40.0,9.5769234,6.9166665
524,38,1,1,0,12.0,0,0,1,1,11.0,3.0,1.0,5.289855,20.0,21.75,1.0
526,38,1,1,0,12.0,0,0,1,1,12.0,3.0,,7.265882,35.0,10.076923,3.1666667
531,40,1,0,0,16.0,1,0,1,0,7.0,4.0,0.0,1.5458931,50.0,11.826923,1.1666666
533,35,1,1,0,16.0,1,0,1,0,11.0,3.0,1.0,5.6119142,40.0,11.025641,3.8333333
538,45,1,0,0,12.0,0,0,1,0,6.0,4.0,,3.5535119,12.0,10.160256,0.58333331
540,42,1,1,0,9.0,0,0,1,0,6.0,8.0,1.0,3.4541039,35.0,7.7307692,4.1666665
541,38,1,0,0,13.0,0,1,0,0,7.0,4.0,0.0,22.520117,55.0,16.980768,13.416667
543,41,1,0,0,6.0,0,0,1,0,9.0,3.0,1.0,4.4283414,40.0,3.3461537,1.25
548,38,1,1,0,12.0,0,0,1,1,11.0,3.0,,4.7778287,35.0,9.4230766,1.5833334
549,43,1,0,0,12.0,0,0,1,0,3.0,3.0,0.0,6.2801929,30.0,17.01923,0.25
551,36,1,1,0,16.0,1,1,1,0,11.0,1.0,,9.6618366,24.0,14.076923,3.0833333
555,36,1,1,0,12.0,0,0,1,0,8.0,2.0,0.0,12.584539,40.0,16.365385,1.3333334
558,42,2,0,0,12.0,0,0,1,1,11.0,1.0,,4.1806021,40.0,6.4166665,1.4166666
562,44,2,1,0,12.0,0,0,1,1,6.0,3.0,0.0,8.3735867,37.0,8.1217947,1.4166666
570,36,2,0,1,16.0,1,0,1,1,4.0,1.0,1.0,20.789045,35.0,11.461538,10.333333
572,35,1,0,0,14.0,0,0,1,1,11.0,1.0,1.0,7.9871168,38.0,7.9679484,6.3333335
576,36,1,0,1,11.0,0,0,1,1,9.0,8.0,0.0,2.5201283,24.0,6.1730771,3.0
584,42,1,0,0,12.0,0,0,1,1,12.0,3.0,1.0,11.062799,35.0,14.448718,3.5833333
585,43,1,0,0,12.0,0,0,1,0,11.0,3.0,1.0,9.6779356,40.0,17.121794,1.3333334
588,45,1,1,0,16.0,1,0,1,0,11.0,13.0,1.0,8.9049911,40.0,4.25,2.0833333
595,40,1,1,0,12.0,0,0,1,0,7.0,3.0,0.0,4.2109499,35.0,11.615385,1.5833334
604,43,1,1,0,12.0,0,0,0,0,8.0,3.0,0.0,4.1806021,40.0,2.8076923,0.83333331
606,42,1,1,0,16.0,1,0,1,1,7.0,4.0,,1.8376268,35.0,17.198717,1.0833334
608,45,1,1,0,16.0,1,1,1,1,6.0,4.0,,8.6914759,37.0,9.3012819,1.8333334
609,38,1,0,0,12.0,0,0,1,0,5.0,3.0,1.0,10.064413,40.0,9.5576925,7.75
614,42,1,0,1,12.0,0,0,1,0,5.0,3.0,1.0,11.948467,35.0,20.346153,20.333334
617,42,1,1,0,17.0,1,0,1,0,11.0,13.0,1.0,19.911428,35.0,14.75,14.75
618,40,1,1,0,16.0,1,1,1,0,11.0,2.0,0.0,7.9388032,40.0,4.75,2.4166667
624,45,1,1,0,12.0,0,0,1,0,6.0,4.0,0.0,10.064413,40.0,9.583333,4.8333335
635,40,1,0,0,12.0,0,0,1,1,11.0,8.0,1.0,7.5201259,35.0,9.6923075,2.4166667
636,42,2,0,0,12.0,0,1,0,0,6.0,3.0,,2.7173913,40.0,3.3397436,0.16666667
641,42,1,0,0,18.0,1,0,1,1,11.0,13.0,1.0,18.389694,32.0,12.089743,10.666667
643,40,1,0,0,15.0,0,0,1,1,7.0,4.0,0.0,12.697259,50.0,14.019231,2.0833333
644,34,1,1,0,17.0,1,0,1,0,11.0,1.0,,9.647542,35.0,13.429487,1.1666666
