mare,stime,follicles,sin1,cos1,time
2,0.64999998,6,-0.80901688,-0.58778536,17
2,0.69999999,4,-0.95105648,-0.30901706,18
2,0.75,5,-1.0,-1.8369701000000003e-16,19
2,0.80000001,8,-0.95105648,0.30901706,20
2,0.85000002,11,-0.80901688,0.58778536,21
2,0.89999998,13,-0.58778536,0.80901688,22
2,0.94999999,10,-0.30901706,0.95105648,23
2,1.0,6,-2.4492937000000003e-16,1.0,24
2,1.05,7,0.3090167,0.9510566,25
2,1.1,6,0.58778536,0.80901688,26
2,1.15,5,0.80901688,0.58778536,27
3,-0.1578947,13,-0.83716637,0.54694837,1
3,-0.1052632,11,-0.61421293,0.78914034,2
3,-0.052631579,10,-0.32469946,0.94581723,3
3,0.0,6,0.0,1.0,4
3,0.052631579,8,0.32469946,0.94581723,5
3,0.1052632,6,0.61421293,0.78914034,6
3,0.1578947,9,0.83716637,0.54694837,7
3,0.2105263,9,0.96940023,0.24548557,8
3,0.2631579,10,0.99658448,-0.082579404,9
3,0.31578949,8,0.91577327,-0.40169552,10
3,0.36842111,14,0.73572367,-0.6772818,11
3,0.4210526,13,0.47594753,-0.87947369,12
3,0.47368419,14,0.16459471,-0.98636127,13
3,0.52631581,16,-0.16459471,-0.98636127,14
3,0.57894742,20,-0.47594771,-0.87947357,15
3,0.63157898,21,-0.73572403,-0.67728144,16
3,0.68421048,25,-0.91577321,-0.4016957,17
3,0.7368421,23,-0.99658448,-0.082579404,18
3,0.78947371,19,-0.96940023,0.24548566,19
3,0.84210533,22,-0.83716625,0.54694849,20
3,0.89473683,16,-0.61421281,0.78914046,21
3,0.94736838,21,-0.3246997,0.94581717,22
3,1.0,19,-2.4492937000000003e-16,1.0,23
3,1.052632,20,0.32470182,0.94581646,24
3,1.105263,17,0.61421192,0.78914112,25
3,1.157895,24,0.83716726,0.54694694,26
4,-0.1363636,9,-0.7557494,0.65486091,1
4,-0.090909101,9,-0.54064089,0.84125352,2
4,-0.045454551,7,-0.28173259,0.95949298,3
4,0.0,6,0.0,1.0,4
4,0.045454551,7,0.28173259,0.95949298,5
4,0.090909101,6,0.54064089,0.84125352,6
4,0.1363636,1,0.7557494,0.65486091,7
4,0.1818182,1,0.90963203,0.4154149,8
4,0.2272727,1,0.98982143,0.14231499,9
4,0.27272731,5,0.98982143,-0.14231507,10
4,0.31818181,6,0.90963203,-0.41541499,11
4,0.3636364,3,0.7557494,-0.65486091,12
4,0.40909091,5,0.54064083,-0.84125352,13
4,0.4545455,3,0.28173229,-0.95949304,14
4,0.5,6,1.2246469000000002e-16,-1.0,15
4,0.5454545,8,-0.28173229,-0.95949304,16
4,0.59090912,6,-0.54064101,-0.8412534,17
4,0.63636363,5,-0.75574952,-0.65486079,18
4,0.68181819,6,-0.90963203,-0.41541499,19
4,0.72727269,8,-0.98982143,-0.14231507,20
4,0.77272731,11,-0.98982143,0.14231507,21
4,0.81818181,14,-0.90963203,0.41541499,22
4,0.86363637,8,-0.75574952,0.65486079,23
4,0.90909088,9,-0.54064101,0.8412534,24
4,0.9545455,10,-0.28173229,0.95949304,25
4,1.0,7,-2.4492937000000003e-16,1.0,26
4,1.045455,7,0.28173518,0.95949221,27
4,1.090909,6,0.54064035,0.84125382,28
4,1.136364,11,0.75575101,0.65485907,29
5,-0.1363636,10,-0.7557494,0.65486091,1
5,-0.090909101,12,-0.54064089,0.84125352,2
5,-0.045454551,12,-0.28173259,0.95949298,3
5,0.0,17,0.0,1.0,4
5,0.045454551,9,0.28173259,0.95949298,5
5,0.090909101,10,0.54064089,0.84125352,6
5,0.1363636,3,0.7557494,0.65486091,7
5,0.1818182,12,0.90963203,0.4154149,8
5,0.2272727,13,0.98982143,0.14231499,9
5,0.27272731,9,0.98982143,-0.14231507,10
5,0.31818181,4,0.90963203,-0.41541499,11
5,0.3636364,7,0.7557494,-0.65486091,12
5,0.40909091,4,0.54064083,-0.84125352,13
5,0.4545455,12,0.28173229,-0.95949304,14
5,0.5,14,1.2246469000000002e-16,-1.0,15
5,0.5454545,12,-0.28173229,-0.95949304,16
5,0.59090912,15,-0.54064101,-0.8412534,17
5,0.63636363,17,-0.75574952,-0.65486079,18
5,0.68181819,15,-0.90963203,-0.41541499,19
5,0.72727269,13,-0.98982143,-0.14231507,20
5,0.77272731,18,-0.98982143,0.14231507,21
5,0.81818181,19,-0.90963203,0.41541499,22
5,0.86363637,13,-0.75574952,0.65486079,23
5,0.90909088,9,-0.54064101,0.8412534,24
5,0.9545455,12,-0.28173229,0.95949304,25
5,1.0,8,-2.4492937000000003e-16,1.0,26
5,1.045455,10,0.28173518,0.95949221,27
5,1.090909,5,0.54064035,0.84125382,28
5,1.136364,14,0.75575101,0.65485907,29
6,-0.1363636,16,-0.7557494,0.65486091,1
6,-0.090909101,17,-0.54064089,0.84125352,2
6,-0.045454551,13,-0.28173259,0.95949298,3
6,0.0,17,0.0,1.0,4
6,0.045454551,15,0.28173259,0.95949298,5
6,0.090909101,9,0.54064089,0.84125352,6
6,0.1363636,8,0.7557494,0.65486091,7
6,0.1818182,5,0.90963203,0.4154149,8
6,0.2272727,9,0.98982143,0.14231499,9
6,0.27272731,8,0.98982143,-0.14231507,10
6,0.31818181,8,0.90963203,-0.41541499,11
6,0.3636364,13,0.7557494,-0.65486091,12
6,0.40909091,14,0.54064083,-0.84125352,13
6,0.4545455,13,0.28173229,-0.95949304,14
6,0.5,14,1.2246469000000002e-16,-1.0,15
6,0.5454545,14,-0.28173229,-0.95949304,16
6,0.59090912,11,-0.54064101,-0.8412534,17
6,0.63636363,17,-0.75574952,-0.65486079,18
6,0.68181819,21,-0.90963203,-0.41541499,19
6,0.72727269,21,-0.98982143,-0.14231507,20
6,0.77272731,21,-0.98982143,0.14231507,21
6,0.81818181,20,-0.90963203,0.41541499,22
6,0.86363637,17,-0.75574952,0.65486079,23
6,0.90909088,18,-0.54064101,0.8412534,24
6,0.9545455,22,-0.28173229,0.95949304,25
6,1.0,10,-2.4492937000000003e-16,1.0,26
6,1.045455,11,0.28173518,0.95949221,27
6,1.090909,11,0.54064035,0.84125382,28
6,1.136364,12,0.75575101,0.65485907,29
7,-0.15000001,18,-0.809017,0.58778524,1
7,-0.1,13,-0.58778524,0.809017,2
7,-0.050000001,14,-0.309017,0.95105654,3
7,0.0,12,0.0,1.0,4
7,0.050000001,11,0.309017,0.95105654,5
7,0.1,8,0.58778524,0.809017,6
7,0.15000001,5,0.809017,0.58778524,7
7,0.2,8,0.95105654,0.30901697,8
7,0.25,10,1.0,6.1232343e-17,9
7,0.30000001,11,0.95105648,-0.30901706,10
7,0.34999999,10,0.809017,-0.58778524,11
7,0.40000001,12,0.58778524,-0.809017,12
7,0.44999999,10,0.30901706,-0.95105648,13
7,0.5,9,1.2246469000000002e-16,-1.0,14
7,0.55000001,12,-0.30901706,-0.95105648,15
7,0.60000002,14,-0.58778536,-0.80901688,16
7,0.64999998,16,-0.80901688,-0.58778536,17
7,0.69999999,13,-0.95105648,-0.30901706,18
7,0.75,11,-1.0,-1.8369701000000003e-16,19
7,0.80000001,13,-0.95105648,0.30901706,20
7,0.85000002,13,-0.80901688,0.58778536,21
7,0.89999998,11,-0.58778536,0.80901688,22
7,0.94999999,11,-0.30901706,0.95105648,23
7,1.0,8,-2.4492937000000003e-16,1.0,24
7,1.05,14,0.3090167,0.9510566,25
7,1.1,4,0.58778536,0.80901688,26
7,1.15,7,0.80901688,0.58778536,27
8,-0.125,13,-0.70710677,0.70710677,1
8,-0.083333328,9,-0.49999997,0.86602545,2
8,-0.041666672,15,-0.25881907,0.96592581,3
8,0.0,15,0.0,1.0,4
8,0.041666672,12,0.25881907,0.96592581,5
8,0.083333328,8,0.49999997,0.86602545,6
8,0.125,10,0.70710677,0.70710677,7
8,0.1666667,6,0.86602551,0.49999982,8
8,0.2083333,9,0.96592575,0.25881925,9
8,0.25,8,1.0,6.1232343e-17,10
8,0.29166669,10,0.96592581,-0.25881916,11
8,0.33333331,6,0.86602545,-0.49999988,12
8,0.375,8,0.70710677,-0.70710677,13
8,0.41666669,13,0.49999988,-0.86602545,14
8,0.45833331,12,0.25881916,-0.96592581,15
8,0.5,12,1.2246469000000002e-16,-1.0,16
8,0.54166669,15,-0.25881916,-0.96592581,17
8,0.58333331,21,-0.49999988,-0.86602545,18
8,0.625,25,-0.70710677,-0.70710677,19
8,0.66666669,21,-0.86602545,-0.49999988,20
8,0.70833331,21,-0.96592581,-0.25881916,21
8,0.75,24,-1.0,-1.8369701000000003e-16,22
8,0.79166669,20,-0.96592581,0.25881916,23
8,0.83333331,20,-0.86602545,0.49999988,24
8,0.875,18,-0.70710677,0.70710677,25
8,0.91666669,20,-0.49999988,0.86602545,26
8,0.95833331,20,-0.25881916,0.96592581,27
8,1.0,19,-2.4492937000000003e-16,1.0,28
8,1.041667,12,0.25882098,0.96592534,29
8,1.083333,7,0.49999827,0.8660264,30
8,1.125,8,0.70710677,0.70710677,31
9,-0.1666667,10,-0.86602551,0.49999982,1
9,-0.1111111,14,-0.64278752,0.7660445,2
9,-0.05555556,12,-0.34202015,0.93969262,3
9,0.0,10,0.0,1.0,4
9,0.05555556,7,0.34202015,0.93969262,5
9,0.1111111,12,0.64278752,0.7660445,6
9,0.1666667,10,0.86602551,0.49999982,7
9,0.22222219,8,0.98480773,0.17364836,8
9,0.27777779,10,0.98480773,-0.17364825,9
9,0.33333331,15,0.86602545,-0.49999988,10
9,0.3888889,15,0.64278758,-0.7660445,11
9,0.44444439,12,0.34202048,-0.9396925,12
9,0.5,19,1.2246469000000002e-16,-1.0,13
9,0.55555558,15,-0.3420203,-0.93969256,14
9,0.6111111,16,-0.64278758,-0.7660445,15
9,0.66666669,15,-0.86602545,-0.49999988,16
9,0.72222221,17,-0.98480773,-0.17364825,17
9,0.77777779,14,-0.98480773,0.17364825,18
9,0.83333331,16,-0.86602545,0.49999988,19
9,0.8888889,15,-0.64278758,0.7660445,20
9,0.94444442,11,-0.3420203,0.93969256,21
9,1.0,10,-2.4492937000000003e-16,1.0,22
9,1.0555561,7,0.3420231,0.93969154,23
9,1.111111,4,0.64278728,0.76604474,24
9,1.166667,8,0.8660264,0.49999827,25
10,-0.1363636,11,-0.7557494,0.65486091,1
10,-0.090909101,16,-0.54064089,0.84125352,2
10,-0.045454551,15,-0.28173259,0.95949298,3
10,0.0,12,0.0,1.0,4
10,0.045454551,11,0.28173259,0.95949298,5
10,0.090909101,6,0.54064089,0.84125352,6
10,0.1363636,11,0.7557494,0.65486091,7
10,0.1818182,12,0.90963203,0.4154149,8
10,0.2272727,11,0.98982143,0.14231499,9
10,0.27272731,16,0.98982143,-0.14231507,10
10,0.31818181,15,0.90963203,-0.41541499,11
10,0.3636364,11,0.7557494,-0.65486091,12
10,0.40909091,7,0.54064083,-0.84125352,13
10,0.4545455,14,0.28173229,-0.95949304,14
10,0.5,20,1.2246469000000002e-16,-1.0,15
10,0.5454545,22,-0.28173229,-0.95949304,16
10,0.59090912,23,-0.54064101,-0.8412534,17
10,0.63636363,21,-0.75574952,-0.65486079,18
10,0.68181819,21,-0.90963203,-0.41541499,19
10,0.72727269,23,-0.98982143,-0.14231507,20
10,0.77272731,22,-0.98982143,0.14231507,21
10,0.81818181,22,-0.90963203,0.41541499,22
10,0.86363637,17,-0.75574952,0.65486079,23
10,0.90909088,17,-0.54064101,0.8412534,24
10,0.9545455,17,-0.28173229,0.95949304,25
10,1.0,17,-2.4492937000000003e-16,1.0,26
10,1.045455,14,0.28173518,0.95949221,27
10,1.090909,12,0.54064035,0.84125382,28
10,1.136364,11,0.75575101,0.65485907,29
11,-0.15000001,9,-0.809017,0.58778524,1
11,-0.1,8,-0.58778524,0.809017,2
11,-0.050000001,8,-0.309017,0.95105654,3
11,0.0,8,0.0,1.0,4
11,0.050000001,8,0.309017,0.95105654,5
11,0.1,6,0.58778524,0.809017,6
11,0.15000001,7,0.809017,0.58778524,7
11,0.2,8,0.95105654,0.30901697,8
11,0.25,10,1.0,6.1232343e-17,9
11,0.30000001,10,0.95105648,-0.30901706,10
11,0.34999999,14,0.809017,-0.58778524,11
11,0.40000001,13,0.58778524,-0.809017,12
11,0.44999999,8,0.30901706,-0.95105648,13
11,0.5,8,1.2246469000000002e-16,-1.0,14
11,0.55000001,8,-0.30901706,-0.95105648,15
11,0.60000002,9,-0.58778536,-0.80901688,16
11,0.64999998,16,-0.80901688,-0.58778536,17
11,0.69999999,12,-0.95105648,-0.30901706,18
11,0.75,10,-1.0,-1.8369701000000003e-16,19
11,0.80000001,12,-0.95105648,0.30901706,20
11,0.85000002,12,-0.80901688,0.58778536,21
11,0.89999998,9,-0.58778536,0.80901688,22
11,0.94999999,6,-0.30901706,0.95105648,23
11,1.0,9,-2.4492937000000003e-16,1.0,24
11,1.05,7,0.3090167,0.9510566,25
11,1.1,5,0.58778536,0.80901688,26
11,1.15,5,0.80901688,0.58778536,27
