arrests,countyid,density,popul,perc1019,perc2029,percblack,percmale,rpcincmaint,rpcpersinc,rpcunemins,year,murders,murdrate,arrestrate,statefips,countyfips,execs,lpopul,execrate
11,6017,69.42,118816,13.08,11.96,0.49,42.19,167.05,14590.55,43.58,1989,4,0.336655,0.9258012,6,17,0,11.68533,0.0
6,6017,73.51,125808,12.99,11.43,0.49,42.03,166.22,14832.05,53.62,1990,9,0.7153758,0.4769172,6,17,0,11.74251,0.0
9,6017,77.59,132800,12.91,10.96,0.5,41.91,168.09,14467.87,83.68,1991,11,0.8283132,0.6777108,6,17,0,11.7966,0.0
9,6017,81.95,140256,12.85,10.5,0.5,41.78,175.4,14580.84,131.9,1992,8,0.5703856,0.6416838,6,17,0,11.85122,0.0
22,6017,82.99985,142054,13.00351,10.05533,0.5089614,50.1063,170.924,14637.88,130.788,1993,5,0.3519788,1.548707,6,17,0,11.86396,0.0
9,6017,84.92039,145341,13.11055,9.577477,0.519468,50.12213,178.2,15012.67,78.975,1994,7,0.481626,0.6192334,6,17,0,11.88684,0.0
7,6017,86.80821,148572,13.27976,9.202272,0.5249979,50.16019,179.088,15484.88,66.256,1995,4,0.2692297,0.471152,6,17,0,11.90882,0.0
5,6017,88.63936,151706,13.42135,8.937023,0.5181074,50.19709,175.45,15665.45,60.61,1996,2,0.1318339,0.3295849,6,17,0,11.9297,0.0
106,6019,86.8,517632,17.59,19.3,5.12,40.97,353.56,12819.46,105.7,1980,102,1.970512,2.047787,6,19,0,13.15702,0.0
83,6019,88.67,528768,17.25,19.38,5.13,40.98,349.16,11757.38,112,1981,73,1.380568,1.569687,6,19,0,13.1783,0.0
57,6019,90.8,541440,16.85,19.36,5.15,40.82,358.11,11308.41,150.07,1982,71,1.311318,1.052748,6,19,0,13.20199,0.0
65,6019,93.2,555776,16.43,19.25,5.15,40.67,374.12,10968.8,155.46,1983,68,1.223515,1.169536,6,19,0,13.22812,0.0
62,6019,95.93,572032,16.05,19.08,5.16,40.55,379.59,11425.33,118.2,1984,71,1.241189,1.083856,6,19,0,13.25695,0.0
82,6019,97.92,583936,15.82,18.77,5.17,40.43,386.05,11658.46,138.27,1985,80,1.370013,1.404263,6,19,0,13.27755,0.0
94,6019,99.53,593536,15.64,18.37,5.17,40.3,418.15,12041.55,144.25,1986,87,1.465791,1.583729,6,19,0,13.29385,0.0
63,6019,102.09,608768,15.62,17.89,5.19,40.19,438.24,12295.36,110.88,1987,67,1.100583,1.034877,6,19,0,13.31919,0.0
58,6019,105.24,627584,15.63,17.46,5.21,40.1,457.69,12114.72,103.21,1988,62,0.9879156,0.924179,6,19,0,13.34963,0.0
62,6019,109.11,650624,15.63,17.11,5.24,40.0,475.32,12228.47,92,1989,67,1.029781,0.9529313,6,19,0,13.38569,0.0
76,6019,112.24,669312,15.5,16.65,5.26,39.77,511.69,12386.22,117.96,1990,92,1.374546,1.135494,6,19,0,13.41401,0.0
109,6019,115.35,687872,15.41,16.21,5.28,39.61,545.36,11876.85,150.47,1991,81,1.177545,1.584597,6,19,0,13.44136,0.0
108,6019,118.66,707584,15.32,15.77,5.29,39.42,573.25,11983.39,226.02,1992,126,1.780707,1.526321,6,19,0,13.46961,0.0
95,6019,121.0272,721710,15.46258,15.2873,5.245182,49.85174,580.588,12269.16,224.9,1993,127,1.75971,1.316318,6,19,0,13.48938,0.0
73,6019,122.9086,732929,15.55144,14.71466,5.212237,49.91275,565.65,12016.35,143.1,1994,122,1.664554,0.9960037,6,19,0,13.5048,0.0
68,6019,124.1822,740524,15.64905,14.27962,5.196186,50.02795,553.664,12048.75,126.608,1995,105,1.417915,0.9182687,6,19,0,13.51511,0.0
51,6019,125.9846,751272,15.70683,14.01849,5.210896,50.23014,541.662,12129.66,116.116,1996,94,1.251211,0.6788487,6,19,0,13.52952,0.0
5,6021,16.35,21500,16.98,15.73,0.27,41.95,205.33,14148.67,117.85,1980,2,0.9302326,2.325582,6,21,0,9.975808,0.0
3,6021,16.77,22048,16.73,15.74,0.31,41.93,186.66,12153.76,118.58,1981,0,0.0,1.360668,6,21,0,10.00098,0.0
6,6021,16.99,22344,16.38,15.68,0.33,41.83,195.61,10957.54,174.91,1982,2,0.8950949,2.685285,6,21,0,10.01431,0.0
0,6021,17.4,22876,16.05,15.54,0.38,41.7,205.61,9829.4,198.59,1983,0,0.0,0,6,21,0,10.03784,0.0
5,6021,17.37,22836,15.68,15.32,0.41,41.55,231.6,10575.8,137.42,1984,3,1.313715,2.189525,6,21,0,10.03609,0.0
1,6021,17.62,23168,15.46,15.01,0.44,41.47,241.28,10993.09,120.64,1985,2,0.8632597,0.4316298,6,21,0,10.05053,0.0
0,6021,17.66,23216,15.33,14.59,0.48,41.36,276.64,10718.62,123.25,1986,0,0.0,0,6,21,0,10.0526,0.0
3,6021,17.73,23316,15.33,14.14,0.5,41.28,298.32,11557.91,95.92,1987,2,0.85778,1.28667,6,21,0,10.0569,0.0
3,6021,18.13,23844,15.33,13.69,0.53,41.16,304.56,11545.36,81.22,1988,0,0.0,1.258178,6,21,0,10.07929,0.0
3,6021,18.58,24424,15.36,13.35,0.57,41.04,344.59,11275.4,92,1989,3,1.2283,1.2283,6,21,0,10.10332,0.0
2,6021,18.85,24780,15.29,12.95,0.56,40.85,366.15,10891.75,113.37,1990,0,0.0,0.8071025,6,21,0,10.11779,0.0
3,6021,19.12,25136,15.23,12.56,0.56,40.7,394.16,10085.89,154.14,1991,2,0.7956715,1.193507,6,21,0,10.13206,0.0
1,6021,19.4,25508,15.16,12.18,0.56,40.51,436.36,10603.02,226.02,1992,0,0.0,0.3920339,6,21,0,10.14675,0.0
6,6021,19.58957,25758,15.30398,11.71287,0.551285,50.132,409.664,11547.4,202.756,1993,2,0.7764578,2.329373,6,21,0,10.1565,0.0
4,6021,19.71961,25929,15.37661,11.31937,0.5707895,50.28732,404.325,10903.95,135.675,1994,0,0.0,1.542674,6,21,0,10.16312,0.0
0,6021,19.90138,26168,15.50749,10.91792,0.5846836,50.4089,402.128,10422.53,113.488,1995,0,0.0,0,6,21,0,10.17229,0.0
1,6021,19.92724,26202,15.63239,10.69002,0.5877414,50.44653,400.664,11309.83,107.184,1996,1,0.3816503,0.3816502,6,21,0,10.17359,0.0
6,6023,30.49,108928,15.45,22.41,0.52,43.08,294.03,11598.38,363.28,1980,9,0.8262339,0.5508226,6,23,0,11.59844,0.0
9,6023,30.88,110336,15.17,22.06,0.55,43.08,293.17,10870.2,328.3,1981,7,0.6344258,0.8156903,6,23,0,11.61129,0.0
15,6023,30.76,109888,14.84,21.61,0.59,42.95,285.66,10475.23,397.44,1982,19,1.729033,1.365026,6,23,0,11.60722,0.0
11,6023,30.69,109632,14.5,21.06,0.62,42.78,293.88,10920.66,273.82,1983,7,0.6384997,1.003357,6,23,0,11.60488,0.0
