individual,mode,choice,ttme,invc,invt,gc,hinc,psize
12,1,0.0,44.0,34.0,370.0,90.0,35.0,2.0
12,2,0.0,53.0,28.0,415.0,91.0,35.0,2.0
12,3,1.0,0.0,6.0,250.0,44.0,35.0,2.0
13,0,0.0,64.0,45.0,114.0,63.0,50.0,4.0
13,1,0.0,44.0,24.0,378.0,81.0,50.0,4.0
13,2,0.0,53.0,19.0,423.0,83.0,50.0,4.0
13,3,1.0,0.0,5.0,240.0,41.0,50.0,4.0
14,0,0.0,64.0,58.0,94.0,72.0,40.0,1.0
14,1,0.0,44.0,31.0,360.0,85.0,40.0,1.0
14,2,0.0,53.0,25.0,405.0,86.0,40.0,1.0
14,3,1.0,0.0,15.0,285.0,58.0,40.0,1.0
15,0,0.0,64.0,83.0,169.0,109.0,26.0,4.0
15,1,0.0,44.0,70.0,948.0,214.0,26.0,4.0
15,2,0.0,53.0,47.0,938.0,189.0,26.0,4.0
15,3,1.0,0.0,17.0,1200.0,199.0,26.0,4.0
16,0,0.0,69.0,60.0,127.0,73.0,26.0,1.0
16,1,1.0,20.0,19.0,325.0,55.0,26.0,1.0
16,2,0.0,35.0,25.0,435.0,72.0,26.0,1.0
16,3,0.0,0.0,14.0,350.0,52.0,26.0,1.0
17,0,0.0,69.0,61.0,74.0,69.0,26.0,1.0
17,1,1.0,15.0,38.0,255.0,66.0,26.0,1.0
17,2,0.0,35.0,26.0,389.0,68.0,26.0,1.0
17,3,0.0,0.0,13.0,315.0,47.0,26.0,1.0
18,0,0.0,69.0,67.0,86.0,76.0,6.0,1.0
18,1,1.0,20.0,21.0,300.0,54.0,6.0,1.0
18,2,0.0,35.0,19.0,399.0,63.0,6.0,1.0
18,3,0.0,0.0,17.0,327.0,53.0,6.0,1.0
19,0,0.0,69.0,59.0,148.0,75.0,20.0,1.0
19,1,1.0,45.0,18.0,305.0,51.0,20.0,1.0
19,2,0.0,35.0,14.0,456.0,63.0,20.0,1.0
19,3,0.0,0.0,16.0,427.0,62.0,20.0,1.0
20,0,0.0,64.0,58.0,93.0,72.0,72.0,2.0
20,1,1.0,10.0,28.0,305.0,75.0,72.0,2.0
20,2,0.0,53.0,25.0,346.0,78.0,72.0,2.0
20,3,0.0,0.0,9.0,316.0,57.0,72.0,2.0
21,0,0.0,69.0,61.0,73.0,69.0,6.0,1.0
21,1,1.0,20.0,21.0,305.0,54.0,6.0,1.0
21,2,0.0,35.0,15.0,395.0,58.0,6.0,1.0
21,3,0.0,0.0,13.0,314.0,47.0,6.0,1.0
22,0,0.0,64.0,62.0,235.0,98.0,10.0,2.0
22,1,1.0,45.0,45.0,465.0,116.0,10.0,2.0
22,2,0.0,53.0,17.0,623.0,111.0,10.0,2.0
22,3,0.0,0.0,13.0,559.0,98.0,10.0,2.0
23,0,1.0,90.0,142.0,105.0,153.0,50.0,1.0
23,1,0.0,34.0,71.0,596.0,136.0,50.0,1.0
23,2,0.0,35.0,32.0,590.0,96.0,50.0,1.0
23,3,0.0,0.0,33.0,577.0,96.0,50.0,1.0
24,0,1.0,50.0,120.0,110.0,132.0,50.0,1.0
24,1,0.0,34.0,70.0,596.0,135.0,50.0,1.0
24,2,0.0,35.0,31.0,590.0,95.0,50.0,1.0
24,3,0.0,0.0,33.0,577.0,96.0,50.0,1.0
25,0,1.0,15.0,85.0,65.0,92.0,18.0,2.0
25,1,0.0,34.0,15.0,361.0,55.0,18.0,2.0
25,2,0.0,35.0,12.0,406.0,56.0,18.0,2.0
25,3,0.0,0.0,9.0,296.0,41.0,18.0,2.0
26,0,1.0,30.0,85.0,140.0,106.0,60.0,1.0
26,1,0.0,44.0,90.0,928.0,231.0,60.0,1.0
26,2,0.0,53.0,45.0,918.0,185.0,60.0,1.0
26,3,0.0,0.0,86.0,902.0,223.0,60.0,1.0
27,0,1.0,80.0,75.0,110.0,87.0,45.0,1.0
27,1,0.0,34.0,70.0,638.0,140.0,45.0,1.0
27,2,0.0,35.0,31.0,632.0,100.0,45.0,1.0
27,3,0.0,0.0,39.0,581.0,102.0,45.0,1.0
28,0,1.0,45.0,85.0,140.0,106.0,18.0,2.0
28,1,0.0,44.0,39.0,664.0,139.0,18.0,2.0
28,2,0.0,53.0,35.0,658.0,135.0,18.0,2.0
28,3,0.0,0.0,19.0,592.0,109.0,18.0,2.0
29,0,0.0,64.0,74.0,179.0,101.0,8.0,2.0
29,1,1.0,60.0,43.0,320.0,91.0,8.0,2.0
29,2,0.0,53.0,21.0,345.0,74.0,8.0,2.0
29,3,0.0,0.0,9.0,321.0,58.0,8.0,2.0
30,0,0.0,69.0,59.0,100.0,70.0,6.0,1.0
30,1,1.0,2.0,11.0,285.0,42.0,6.0,1.0
30,2,0.0,35.0,13.0,417.0,58.0,6.0,1.0
30,3,0.0,0.0,13.0,284.0,44.0,6.0,1.0
31,0,0.0,69.0,59.0,101.0,70.0,20.0,1.0
31,1,1.0,5.0,17.0,300.0,50.0,20.0,1.0
31,2,0.0,35.0,25.0,420.0,70.0,20.0,1.0
31,3,0.0,0.0,13.0,297.0,45.0,20.0,1.0
32,0,0.0,69.0,64.0,90.0,73.0,45.0,1.0
32,1,1.0,15.0,32.0,325.0,67.0,45.0,1.0
32,2,0.0,35.0,29.0,405.0,73.0,45.0,1.0
32,3,0.0,0.0,18.0,327.0,54.0,45.0,1.0
33,0,0.0,64.0,59.0,73.0,70.0,70.0,2.0
33,1,1.0,45.0,29.0,290.0,73.0,70.0,2.0
33,2,0.0,53.0,26.0,395.0,86.0,70.0,2.0
33,3,0.0,0.0,9.0,314.0,57.0,70.0,2.0
34,0,0.0,69.0,62.0,66.0,70.0,4.0,1.0
34,1,1.0,10.0,31.0,295.0,63.0,4.0,1.0
34,2,0.0,35.0,19.0,397.0,62.0,4.0,1.0
34,3,0.0,0.0,17.0,307.0,50.0,4.0,1.0
35,0,0.0,69.0,60.0,132.0,75.0,40.0,1.0
35,1,1.0,15.0,15.0,330.0,50.0,40.0,1.0
35,2,0.0,35.0,26.0,373.0,67.0,40.0,1.0
35,3,0.0,0.0,12.0,309.0,46.0,40.0,1.0
36,0,0.0,69.0,60.0,117.0,73.0,35.0,1.0
36,1,1.0,10.0,23.0,325.0,58.0,35.0,1.0
36,2,0.0,35.0,25.0,425.0,71.0,35.0,1.0
36,3,0.0,0.0,17.0,307.0,50.0,35.0,1.0
37,0,0.0,64.0,62.0,184.0,90.0,40.0,2.0
37,1,1.0,45.0,24.0,360.0,79.0,40.0,2.0
37,2,0.0,53.0,28.0,464.0,98.0,40.0,2.0
37,3,0.0,0.0,11.0,427.0,76.0,40.0,2.0
38,0,0.0,64.0,50.0,67.0,60.0,4.0,3.0
38,1,1.0,30.0,31.0,265.0,71.0,4.0,3.0
38,2,0.0,53.0,14.0,393.0,73.0,4.0,3.0
38,3,0.0,0.0,6.0,308.0,53.0,4.0,3.0
39,0,0.0,64.0,48.0,154.0,71.0,15.0,4.0
39,1,1.0,55.0,25.0,360.0,80.0,15.0,4.0
39,2,0.0,53.0,14.0,462.0,84.0,15.0,4.0
39,3,0.0,0.0,4.0,351.0,57.0,15.0,4.0
40,0,1.0,30.0,147.0,100.0,158.0,26.0,1.0
40,1,0.0,34.0,96.0,678.0,169.0,26.0,1.0
40,2,0.0,35.0,57.0,672.0,130.0,26.0,1.0
40,3,0.0,0.0,28.0,629.0,96.0,26.0,1.0
41,0,1.0,75.0,125.0,110.0,137.0,26.0,1.0
41,1,0.0,34.0,70.0,596.0,135.0,26.0,1.0
41,2,0.0,35.0,31.0,590.0,95.0,26.0,1.0
41,3,0.0,0.0,24.0,577.0,87.0,26.0,1.0
42,0,1.0,40.0,152.0,95.0,162.0,70.0,1.0
42,1,0.0,34.0,73.0,600.0,138.0,70.0,1.0
42,2,0.0,35.0,34.0,594.0,98.0,70.0,1.0
42,3,0.0,0.0,24.0,587.0,88.0,70.0,1.0
43,0,1.0,30.0,116.0,180.0,136.0,70.0,1.0
43,1,0.0,34.0,71.0,657.0,142.0,70.0,1.0
43,2,0.0,35.0,32.0,651.0,102.0,70.0,1.0
43,3,0.0,0.0,29.0,629.0,97.0,70.0,1.0
44,0,1.0,40.0,100.0,105.0,116.0,45.0,2.0
44,1,0.0,44.0,70.0,622.0,165.0,45.0,2.0
44,2,0.0,53.0,31.0,616.0,125.0,45.0,2.0
44,3,0.0,0.0,17.0,577.0,105.0,45.0,2.0
45,0,1.0,45.0,105.0,115.0,122.0,8.0,2.0
45,1,0.0,44.0,35.0,622.0,130.0,8.0,2.0
45,2,0.0,53.0,31.0,616.0,125.0,8.0,2.0
45,3,0.0,0.0,12.0,577.0,100.0,8.0,2.0
46,0,1.0,20.0,106.0,190.0,127.0,70.0,1.0
46,1,0.0,34.0,72.0,659.0,143.0,70.0,1.0
46,2,0.0,35.0,33.0,653.0,104.0,70.0,1.0
46,3,0.0,0.0,44.0,592.0,108.0,70.0,1.0
47,0,1.0,60.0,90.0,100.0,105.0,26.0,2.0
47,1,0.0,44.0,69.0,596.0,160.0,26.0,2.0
47,2,0.0,53.0,30.0,590.0,120.0,26.0,2.0
47,3,0.0,0.0,13.0,577.0,101.0,26.0,2.0
48,0,1.0,40.0,48.0,115.0,60.0,50.0,1.0
48,1,0.0,34.0,31.0,365.0,70.0,50.0,1.0
48,2,0.0,35.0,25.0,410.0,69.0,50.0,1.0
48,3,0.0,0.0,16.0,308.0,49.0,50.0,1.0
49,0,1.0,50.0,69.0,85.0,82.0,10.0,3.0
49,1,0.0,44.0,16.0,344.0,68.0,10.0,3.0
49,2,0.0,53.0,13.0,389.0,72.0,10.0,3.0
49,3,0.0,0.0,4.0,315.0,52.0,10.0,3.0
50,0,1.0,75.0,99.0,135.0,114.0,30.0,1.0
50,1,0.0,34.0,96.0,678.0,169.0,30.0,1.0
50,2,0.0,35.0,57.0,672.0,130.0,30.0,1.0
50,3,0.0,0.0,29.0,629.0,97.0,30.0,1.0
51,0,1.0,90.0,64.0,155.0,88.0,60.0,2.0
51,1,0.0,44.0,74.0,678.0,177.0,60.0,2.0
51,2,0.0,53.0,35.0,672.0,137.0,60.0,2.0
51,3,0.0,0.0,20.0,629.0,115.0,60.0,2.0
52,0,1.0,85.0,105.0,85.0,118.0,30.0,4.0
52,1,0.0,44.0,56.0,665.0,156.0,30.0,4.0
52,2,0.0,53.0,35.0,659.0,135.0,30.0,4.0
52,3,0.0,0.0,8.0,587.0,97.0,30.0,4.0
53,0,0.0,69.0,60.0,123.0,73.0,30.0,1.0
53,1,1.0,15.0,24.0,365.0,64.0,30.0,1.0
53,2,0.0,35.0,25.0,430.0,71.0,30.0,1.0
53,3,0.0,0.0,13.0,332.0,49.0,30.0,1.0
54,0,0.0,64.0,58.0,90.0,72.0,50.0,2.0
54,1,1.0,30.0,22.0,340.0,74.0,50.0,2.0
54,2,0.0,53.0,25.0,417.0,88.0,50.0,2.0
54,3,0.0,0.0,9.0,334.0,60.0,50.0,2.0
55,0,0.0,64.0,45.0,73.0,56.0,6.0,4.0
55,1,1.0,15.0,22.0,290.0,66.0,6.0,4.0
55,2,0.0,53.0,13.0,395.0,73.0,6.0,4.0
55,3,0.0,0.0,5.0,314.0,53.0,6.0,4.0
56,0,0.0,69.0,108.0,170.0,126.0,30.0,1.0
56,1,1.0,30.0,31.0,875.0,126.0,30.0,1.0
56,2,0.0,35.0,44.0,887.0,140.0,30.0,1.0
56,3,0.0,0.0,50.0,884.0,146.0,30.0,1.0
57,0,0.0,69.0,110.0,249.0,137.0,12.0,1.0
57,1,1.0,45.0,22.0,890.0,119.0,12.0,1.0
57,2,0.0,35.0,47.0,955.0,151.0,12.0,1.0
57,3,0.0,0.0,38.0,990.0,146.0,12.0,1.0
58,0,0.0,64.0,115.0,138.0,136.0,36.0,2.0
58,1,1.0,10.0,44.0,830.0,170.0,36.0,2.0
58,2,0.0,53.0,50.0,869.0,182.0,36.0,2.0
58,3,0.0,0.0,18.0,862.0,149.0,36.0,2.0
59,0,0.0,69.0,117.0,147.0,133.0,30.0,1.0
59,1,1.0,40.0,59.0,790.0,145.0,30.0,1.0
59,2,0.0,35.0,48.0,885.0,144.0,30.0,1.0
59,3,0.0,0.0,38.0,883.0,134.0,30.0,1.0
60,0,0.0,64.0,88.0,119.0,106.0,35.0,3.0
60,1,1.0,50.0,78.0,775.0,196.0,35.0,3.0
60,2,0.0,53.0,43.0,840.0,170.0,35.0,3.0
60,3,0.0,0.0,16.0,855.0,146.0,35.0,3.0
61,0,0.0,69.0,105.0,196.0,126.0,6.0,1.0
61,1,1.0,40.0,43.0,895.0,140.0,6.0,1.0
61,2,0.0,35.0,44.0,919.0,144.0,6.0,1.0
61,3,0.0,0.0,50.0,935.0,152.0,6.0,1.0
62,0,0.0,64.0,120.0,333.0,170.0,6.0,1.0
62,1,1.0,25.0,28.0,870.0,160.0,6.0,1.0
62,2,0.0,53.0,52.0,890.0,187.0,6.0,1.0
62,3,0.0,0.0,38.0,921.0,178.0,6.0,1.0
63,0,0.0,64.0,103.0,146.0,125.0,8.0,2.0
63,1,1.0,25.0,36.0,875.0,169.0,8.0,2.0
63,2,0.0,53.0,43.0,943.0,186.0,8.0,2.0
63,3,0.0,0.0,19.0,887.0,154.0,8.0,2.0
64,0,0.0,69.0,103.0,138.0,118.0,6.0,1.0
64,1,1.0,5.0,22.0,800.0,109.0,6.0,1.0
64,2,0.0,35.0,43.0,821.0,132.0,6.0,1.0
64,3,0.0,0.0,36.0,846.0,128.0,6.0,1.0
65,0,0.0,64.0,116.0,164.0,141.0,12.0,2.0
65,1,1.0,75.0,89.0,685.0,193.0,12.0,2.0
65,2,0.0,53.0,47.0,875.0,180.0,12.0,2.0
65,3,0.0,0.0,19.0,874.0,152.0,12.0,2.0
66,0,0.0,69.0,103.0,129.0,117.0,30.0,1.0
66,1,0.0,34.0,88.0,925.0,189.0,30.0,1.0
66,2,1.0,10.0,30.0,790.0,116.0,30.0,1.0
66,3,0.0,0.0,50.0,887.0,146.0,30.0,1.0
67,0,0.0,64.0,109.0,230.0,144.0,35.0,2.0
67,1,0.0,44.0,101.0,1104.0,269.0,35.0,2.0
67,2,0.0,53.0,56.0,1094.0,222.0,35.0,2.0
67,3,1.0,0.0,26.0,960.0,172.0,35.0,2.0
68,0,0.0,69.0,108.0,177.0,127.0,35.0,1.0
68,1,0.0,34.0,92.0,907.0,191.0,35.0,1.0
68,2,1.0,45.0,39.0,850.0,131.0,35.0,1.0
68,3,0.0,0.0,52.0,865.0,146.0,35.0,1.0
69,0,0.0,64.0,92.0,161.0,117.0,60.0,3.0
69,1,1.0,40.0,73.0,792.0,193.0,60.0,3.0
69,2,0.0,53.0,46.0,920.0,186.0,60.0,3.0
69,3,0.0,0.0,16.0,887.0,151.0,60.0,3.0
70,0,0.0,64.0,119.0,161.0,143.0,60.0,2.0
70,1,1.0,45.0,75.0,765.0,191.0,60.0,2.0
70,2,0.0,53.0,51.0,869.0,182.0,60.0,2.0
70,3,0.0,0.0,19.0,898.0,155.0,60.0,2.0
71,0,0.0,64.0,109.0,190.0,138.0,12.0,2.0
71,1,1.0,40.0,24.0,399.0,85.0,12.0,2.0
71,2,0.0,53.0,46.0,951.0,190.0,12.0,2.0
71,3,0.0,0.0,27.0,897.0,163.0,12.0,2.0
72,0,0.0,69.0,111.0,108.0,122.0,10.0,1.0
72,1,1.0,30.0,30.0,760.0,113.0,10.0,1.0
72,2,0.0,35.0,50.0,867.0,144.0,10.0,1.0
72,3,0.0,0.0,47.0,844.0,139.0,10.0,1.0
73,0,0.0,69.0,104.0,246.0,131.0,10.0,1.0
73,1,1.0,25.0,23.0,830.0,113.0,10.0,1.0
73,2,0.0,35.0,45.0,1068.0,161.0,10.0,1.0
73,3,0.0,0.0,41.0,978.0,147.0,10.0,1.0
74,0,0.0,69.0,104.0,200.0,126.0,15.0,1.0
74,1,1.0,75.0,23.0,835.0,114.0,15.0,1.0
74,2,0.0,35.0,43.0,846.0,135.0,15.0,1.0
74,3,0.0,0.0,40.0,927.0,141.0,15.0,1.0
75,0,0.0,64.0,124.0,160.0,148.0,10.0,2.0
75,1,1.0,30.0,82.0,850.0,211.0,10.0,2.0
75,2,0.0,53.0,54.0,893.0,189.0,10.0,2.0
75,3,0.0,0.0,19.0,886.0,153.0,10.0,2.0
76,0,0.0,64.0,103.0,145.0,125.0,8.0,1.0
76,1,1.0,50.0,73.0,840.0,200.0,8.0,1.0
76,2,0.0,53.0,43.0,892.0,178.0,8.0,1.0
76,3,0.0,0.0,50.0,894.0,186.0,8.0,1.0
77,0,0.0,69.0,103.0,125.0,116.0,30.0,1.0
77,1,1.0,30.0,80.0,800.0,167.0,30.0,1.0
77,2,0.0,35.0,42.0,844.0,134.0,30.0,1.0
77,3,0.0,0.0,38.0,861.0,132.0,30.0,1.0
78,0,0.0,64.0,113.0,163.0,137.0,20.0,2.0
78,1,0.0,44.0,51.0,948.0,195.0,20.0,2.0
78,2,0.0,53.0,49.0,938.0,191.0,20.0,2.0
78,3,1.0,0.0,26.0,720.0,135.0,20.0,2.0
79,0,0.0,64.0,76.0,147.0,98.0,70.0,5.0
79,1,0.0,44.0,63.0,918.0,203.0,70.0,5.0
79,2,0.0,53.0,44.0,908.0,182.0,70.0,5.0
79,3,1.0,0.0,10.0,1440.0,228.0,70.0,5.0
80,0,0.0,69.0,108.0,163.0,125.0,20.0,1.0
80,1,0.0,34.0,89.0,905.0,187.0,20.0,1.0
80,2,1.0,30.0,43.0,785.0,128.0,20.0,1.0
80,3,0.0,0.0,35.0,879.0,130.0,20.0,1.0
81,0,0.0,69.0,127.0,193.0,148.0,60.0,1.0
81,1,0.0,34.0,109.0,888.0,205.0,60.0,1.0
81,2,1.0,60.0,52.0,1025.0,163.0,60.0,1.0
81,3,0.0,0.0,50.0,892.0,147.0,60.0,1.0
82,0,0.0,64.0,44.0,100.0,59.0,70.0,4.0
82,1,0.0,44.0,25.0,351.0,78.0,70.0,4.0
82,2,0.0,53.0,20.0,361.0,75.0,70.0,4.0
82,3,1.0,0.0,5.0,180.0,32.0,70.0,4.0
83,0,0.0,69.0,59.0,98.0,69.0,8.0,1.0
83,1,1.0,1.0,11.0,320.0,46.0,8.0,1.0
83,2,0.0,35.0,13.0,413.0,57.0,8.0,1.0
83,3,0.0,0.0,17.0,332.0,53.0,8.0,1.0
84,0,0.0,69.0,59.0,114.0,72.0,30.0,1.0
84,1,1.0,25.0,60.0,337.0,97.0,30.0,1.0
84,2,0.0,35.0,25.0,423.0,71.0,30.0,1.0
84,3,0.0,0.0,8.0,335.0,44.0,30.0,1.0
85,0,1.0,25.0,65.0,140.0,86.0,70.0,2.0
85,1,0.0,44.0,69.0,596.0,160.0,70.0,2.0
85,2,0.0,53.0,30.0,590.0,120.0,70.0,2.0
85,3,0.0,0.0,16.0,577.0,104.0,70.0,2.0
86,0,0.0,69.0,60.0,67.0,67.0,60.0,1.0
86,1,1.0,10.0,37.0,285.0,68.0,60.0,1.0
86,2,0.0,35.0,28.0,400.0,72.0,60.0,1.0
86,3,0.0,0.0,14.0,320.0,49.0,60.0,1.0
87,0,0.0,64.0,59.0,118.0,77.0,20.0,2.0
87,1,0.0,44.0,17.0,349.0,70.0,20.0,2.0
87,2,0.0,53.0,14.0,359.0,68.0,20.0,2.0
87,3,1.0,0.0,5.0,240.0,41.0,20.0,2.0
88,0,0.0,69.0,61.0,72.0,69.0,15.0,1.0
88,1,1.0,10.0,18.0,305.0,51.0,15.0,1.0
88,2,0.0,35.0,27.0,396.0,70.0,15.0,1.0
88,3,0.0,0.0,12.0,332.0,48.0,15.0,1.0
89,0,0.0,64.0,59.0,118.0,77.0,30.0,2.0
89,1,0.0,44.0,32.0,349.0,85.0,30.0,2.0
89,2,0.0,53.0,26.0,359.0,80.0,30.0,2.0
89,3,1.0,0.0,6.0,265.0,46.0,30.0,2.0
90,0,0.0,64.0,60.0,74.0,71.0,26.0,2.0
90,1,1.0,20.0,40.0,262.0,80.0,26.0,2.0
90,2,0.0,53.0,26.0,389.0,85.0,26.0,2.0
90,3,0.0,0.0,10.0,315.0,58.0,26.0,2.0
91,0,0.0,64.0,44.0,93.0,58.0,35.0,4.0
91,1,1.0,20.0,30.0,291.0,74.0,35.0,4.0
91,2,0.0,53.0,19.0,346.0,72.0,35.0,4.0
91,3,0.0,0.0,4.0,316.0,52.0,35.0,4.0
92,0,0.0,69.0,58.0,124.0,71.0,12.0,1.0
92,1,1.0,10.0,30.0,340.0,67.0,12.0,1.0
92,2,0.0,35.0,25.0,427.0,71.0,12.0,1.0
92,3,0.0,0.0,14.0,364.0,54.0,12.0,1.0
93,0,0.0,64.0,84.0,108.0,100.0,70.0,2.0
93,1,0.0,44.0,70.0,596.0,160.0,70.0,2.0
93,2,0.0,53.0,31.0,590.0,120.0,70.0,2.0
93,3,1.0,0.0,15.0,360.0,70.0,70.0,2.0
94,0,1.0,30.0,145.0,90.0,158.0,50.0,1.0
94,1,0.0,44.0,31.0,343.0,83.0,50.0,1.0
94,2,0.0,53.0,25.0,388.0,84.0,50.0,1.0
94,3,0.0,0.0,13.0,296.0,58.0,50.0,1.0
95,0,1.0,45.0,121.0,100.0,136.0,40.0,2.0
95,1,0.0,44.0,92.0,926.0,233.0,40.0,2.0
95,2,0.0,53.0,47.0,916.0,186.0,40.0,2.0
95,3,0.0,0.0,20.0,885.0,154.0,40.0,2.0
96,0,1.0,30.0,84.0,180.0,103.0,70.0,1.0
96,1,0.0,34.0,72.0,707.0,149.0,70.0,1.0
96,2,0.0,35.0,33.0,701.0,109.0,70.0,1.0
96,3,0.0,0.0,26.0,626.0,94.0,70.0,1.0
97,0,0.0,69.0,61.0,146.0,77.0,10.0,1.0
97,1,0.0,34.0,17.0,409.0,61.0,10.0,1.0
97,2,1.0,5.0,31.0,300.0,64.0,10.0,1.0
97,3,0.0,0.0,13.0,350.0,51.0,10.0,1.0
98,0,1.0,45.0,180.0,160.0,197.0,26.0,1.0
98,1,0.0,34.0,89.0,985.0,196.0,26.0,1.0
98,2,0.0,35.0,44.0,975.0,150.0,26.0,1.0
98,3,0.0,0.0,39.0,896.0,136.0,26.0,1.0
99,0,0.0,64.0,94.0,231.0,129.0,50.0,3.0
99,1,0.0,44.0,79.0,949.0,223.0,50.0,3.0
99,2,1.0,40.0,32.0,1110.0,201.0,50.0,3.0
99,3,0.0,0.0,13.0,942.0,156.0,50.0,3.0
100,0,0.0,64.0,92.0,203.0,123.0,70.0,3.0
100,1,0.0,44.0,77.0,961.0,223.0,70.0,3.0
100,2,0.0,53.0,46.0,951.0,190.0,70.0,3.0
100,3,1.0,0.0,17.0,780.0,135.0,70.0,3.0
101,0,0.0,69.0,59.0,111.0,71.0,30.0,1.0
101,1,0.0,34.0,31.0,376.0,72.0,30.0,1.0
101,2,1.0,15.0,25.0,360.0,64.0,30.0,1.0
101,3,0.0,0.0,23.0,351.0,61.0,30.0,1.0
102,0,0.0,64.0,75.0,153.0,99.0,50.0,5.0
102,1,0.0,44.0,64.0,900.0,201.0,50.0,5.0
102,2,0.0,53.0,45.0,890.0,180.0,50.0,5.0
102,3,1.0,0.0,13.0,720.0,122.0,50.0,5.0
103,0,0.0,69.0,58.0,99.0,68.0,20.0,1.0
103,1,0.0,34.0,16.0,366.0,55.0,20.0,1.0
103,2,0.0,35.0,13.0,411.0,57.0,20.0,1.0
103,3,1.0,0.0,13.0,300.0,46.0,20.0,1.0
104,0,0.0,64.0,110.0,153.0,133.0,32.0,2.0
104,1,0.0,44.0,91.0,874.0,223.0,32.0,2.0
104,2,0.0,53.0,46.0,864.0,177.0,32.0,2.0
104,3,1.0,0.0,21.0,960.0,167.0,32.0,2.0
105,0,0.0,64.0,108.0,187.0,136.0,27.0,2.0
105,1,0.0,44.0,90.0,932.0,231.0,27.0,2.0
105,2,0.0,53.0,45.0,922.0,185.0,27.0,2.0
105,3,1.0,0.0,20.0,1440.0,238.0,27.0,2.0
106,0,0.0,69.0,104.0,179.0,123.0,30.0,1.0
106,1,0.0,34.0,89.0,978.0,195.0,30.0,1.0
106,2,1.0,30.0,28.0,795.0,114.0,30.0,1.0
106,3,0.0,0.0,40.0,904.0,138.0,30.0,1.0
107,0,0.0,69.0,108.0,180.0,128.0,35.0,1.0
107,1,0.0,34.0,89.0,901.0,187.0,35.0,1.0
107,2,0.0,35.0,44.0,891.0,141.0,35.0,1.0
107,3,1.0,0.0,34.0,720.0,112.0,35.0,1.0
108,0,0.0,64.0,78.0,146.0,100.0,40.0,4.0
108,1,0.0,44.0,66.0,903.0,203.0,40.0,4.0
108,2,0.0,53.0,43.0,893.0,178.0,40.0,4.0
108,3,1.0,0.0,11.0,870.0,143.0,40.0,4.0
109,0,0.0,64.0,60.0,144.0,82.0,60.0,2.0
109,1,0.0,44.0,32.0,404.0,93.0,60.0,2.0
109,2,0.0,53.0,26.0,449.0,94.0,60.0,2.0
